failed_area,geo_id,vuln_score,freight_value_B,freight_ton_M,affected_od_pairs,extra_miles_total,disconnected_pairs,rerouting_cost_B
"Dallas-Fort Worth, TX-OK",E330000US4820600000,0.4997,3757.1,2004.6,484,32953.7,0,5284.7791
"Remainder of Pennsylvania, Penns…",E330000US4299999999,0.3446,2254.8,1619.8,1028,30694.8,0,3977.4642
"Remainder of Illinois, Illinois",E330000US1799999999,0.3557,1649.1,2143.0,426,19143.8,0,3282.0313
"Los Angeles-Long Beach, CA",E330000US0634800000,0.8819,7963.8,2600.9,109,7151.1,0,1487.946
"Chicago-Naperville, IL-IN-WI",E330000US1717600000,0.5206,4290.3,1826.7,314,8758.9,0,1279.991
Atlanta--Athens-Clarke County--S…,E330000US1312200000,0.3119,2810.4,932.9,262,7944.2,0,592.913
"New York-Newark, NY-NJ-CT-PA",E330000US3440800000,0.3085,2941.7,810.2,431,4820.7,0,312.447
"Remainder of Texas, Texas",E330000US4899999999,0.4335,2166.3,2499.9,99,1561.6,0,312.3133
"Remainder of Kentucky, Kentucky",E330000US2199999999,0.2452,1304.2,1365.4,338,2695.3,0,294.4063
"Remainder of Wisconsin, Wisconsi…",E330000US5599999999,0.3104,1908.0,1545.6,247,1843.8,0,227.9794
"San Jose-San Francisco-Oakland, …",E330000US0648800000,0.3317,2676.8,1208.1,63,61.9,0,5.9856
"Remainder of Indiana, Indiana",E330000US1899999999,0.2583,1478.7,1364.9,3,2.8,0,0.3079
"Houston-The Woodlands, TX",E330000US4828800000,0.7186,4234.6,3688.5,0,0.0,0,0.0
"Seattle-Tacoma, WA",E330000US5350000000,0.2427,2123.7,772.2,0,0.0,0,0.0
