NAME,GEO_ID,COMM,COMM_LABEL,VAL,TON,state
Alabama,0400000US01,0000,All Commodities,15481,8633,01
Alabama,0400000US01,0000,All Commodities,19159,11697,01
Alaska,0400000US02,0000,All Commodities,3560,1106,02
Alaska,0400000US02,0000,All Commodities,0,0,02
Arizona,0400000US04,0000,All Commodities,13924,1628,04
Arizona,0400000US04,0000,All Commodities,15157,1130,04
Arkansas,0400000US05,0000,All Commodities,4786,3758,05
Arkansas,0400000US05,0000,All Commodities,4751,1420,05
California,0400000US06,0000,All Commodities,167344,40515,06
California,0400000US06,0000,All Commodities,160095,60840,06
Colorado,0400000US08,0000,All Commodities,6072,880,08
Colorado,0400000US08,0000,All Commodities,8869,4513,08
Connecticut,0400000US09,0000,All Commodities,14331,1804,09
Connecticut,0400000US09,0000,All Commodities,21472,2356,09
Delaware,0400000US10,0000,All Commodities,1556,0,10
Delaware,0400000US10,0000,All Commodities,3288,509,10
District of Columbia,0400000US11,0000,All Commodities,0,1,11
District of Columbia,0400000US11,0000,All Commodities,0,0,11
Florida,0400000US12,0000,All Commodities,37833,5455,12
Florida,0400000US12,0000,All Commodities,47854,19543,12
Georgia,0400000US13,0000,All Commodities,14772,5003,13
Georgia,0400000US13,0000,All Commodities,20376,10722,13
Hawaii,0400000US15,0000,All Commodities,528,192,15
Hawaii,0400000US15,0000,All Commodities,356,0,15
Idaho,0400000US16,0000,All Commodities,2048,842,16
Idaho,0400000US16,0000,All Commodities,3260,764,16
Illinois,0400000US17,0000,All Commodities,45461,20939,17
Illinois,0400000US17,0000,All Commodities,36534,11175,17
Indiana,0400000US18,0000,All Commodities,27836,4812,18
Indiana,0400000US18,0000,All Commodities,26016,7995,18
Iowa,0400000US19,0000,All Commodities,15838,11624,19
Iowa,0400000US19,0000,All Commodities,13092,7839,19
Kansas,0400000US20,0000,All Commodities,8850,4079,20
Kansas,0400000US20,0000,All Commodities,4642,3094,20
Kentucky,0400000US21,0000,All Commodities,15299,5391,21
Kentucky,0400000US21,0000,All Commodities,11758,0,21
Louisiana,0400000US22,0000,All Commodities,35508,73594,22
Louisiana,0400000US22,0000,All Commodities,35386,90790,22
Maine,0400000US23,0000,All Commodities,3384,1262,23
Maine,0400000US23,0000,All Commodities,2677,716,23
Maryland,0400000US24,0000,All Commodities,4244,742,24
Maryland,0400000US24,0000,All Commodities,5244,967,24
Massachusetts,0400000US25,0000,All Commodities,26228,987,25
Massachusetts,0400000US25,0000,All Commodities,22711,0,25
Michigan,0400000US26,0000,All Commodities,36138,13430,26
Michigan,0400000US26,0000,All Commodities,47246,10634,26
Minnesota,0400000US27,0000,All Commodities,24319,28363,27
Minnesota,0400000US27,0000,All Commodities,21034,20016,27
Mississippi,0400000US28,0000,All Commodities,5246,2281,28
Mississippi,0400000US28,0000,All Commodities,8559,9098,28
Missouri,0400000US29,0000,All Commodities,10337,3096,29
Missouri,0400000US29,0000,All Commodities,11736,8178,29
Montana,0400000US30,0000,All Commodities,3709,0,30
Montana,0400000US30,0000,All Commodities,2405,14097,30
Nebraska,0400000US31,0000,All Commodities,6731,0,31
Nebraska,0400000US31,0000,All Commodities,4817,3451,31
Nevada,0400000US32,0000,All Commodities,3765,552,32
Nevada,0400000US32,0000,All Commodities,8996,849,32
New Hampshire,0400000US33,0000,All Commodities,5444,0,33
New Hampshire,0400000US33,0000,All Commodities,3422,355,33
New Jersey,0400000US34,0000,All Commodities,24333,5606,34
New Jersey,0400000US34,0000,All Commodities,23773,8296,34
New Mexico,0400000US35,0000,All Commodities,2163,0,35
New Mexico,0400000US35,0000,All Commodities,1738,889,35
New York,0400000US36,0000,All Commodities,31527,8999,36
New York,0400000US36,0000,All Commodities,47024,8537,36
North Carolina,0400000US37,0000,All Commodities,32659,4203,37
North Carolina,0400000US37,0000,All Commodities,30806,5123,37
North Dakota,0400000US38,0000,All Commodities,2560,4187,38
North Dakota,0400000US38,0000,All Commodities,1984,3365,38
Ohio,0400000US39,0000,All Commodities,32468,9213,39
Ohio,0400000US39,0000,All Commodities,34532,12885,39
Oklahoma,0400000US40,0000,All Commodities,3176,1209,40
Pennsylvania,0400000US42,0000,All Commodities,25244,6224,42
Oklahoma,0400000US40,0000,All Commodities,4528,961,40
Oregon,0400000US41,0000,All Commodities,12495,2069,41
Oregon,0400000US41,0000,All Commodities,20552,0,41
Pennsylvania,0400000US42,0000,All Commodities,35290,18864,42
Rhode Island,0400000US44,0000,All Commodities,2147,592,44
Rhode Island,0400000US44,0000,All Commodities,1700,155,44
South Carolina,0400000US45,0000,All Commodities,11267,4010,45
South Carolina,0400000US45,0000,All Commodities,25505,4132,45
South Dakota,0400000US46,0000,All Commodities,1017,1051,46
South Dakota,0400000US46,0000,All Commodities,1250,2449,46
Tennessee,0400000US47,0000,All Commodities,22745,3925,47
Tennessee,0400000US47,0000,All Commodities,21695,4856,47
Texas,0400000US48,0000,All Commodities,101685,76969,48
Texas,0400000US48,0000,All Commodities,120552,100925,48
Utah,0400000US49,0000,All Commodities,10151,1485,49
Utah,0400000US49,0000,All Commodities,8862,1197,49
Vermont,0400000US50,0000,All Commodities,2391,592,50
Vermont,0400000US50,0000,All Commodities,1515,1333,50
Virginia,0400000US51,0000,All Commodities,12635,8571,51
Virginia,0400000US51,0000,All Commodities,13994,20841,51
Washington,0400000US53,0000,All Commodities,51609,13376,53
Washington,0400000US53,0000,All Commodities,75003,19458,53
West Virginia,0400000US54,0000,All Commodities,5430,20701,54
West Virginia,0400000US54,0000,All Commodities,5419,26224,54
Wisconsin,0400000US55,0000,All Commodities,21802,7058,55
Wisconsin,0400000US55,0000,All Commodities,23262,13855,55
Wyoming,0400000US56,0000,All Commodities,1076,6162,56
Wyoming,0400000US56,0000,All Commodities,528,2498,56
