NAME,GEO_ID,COMM,COMM_LABEL,VAL,TON,us
United States,0100000US,0000,All Commodities,2147421,2590077,1
United States,0100000US,0000,All Commodities,1680231,2967965,1
United States,0100000US,04,"Animal feed, eggs, honey, and other products of animal origin",42,22,1
United States,0100000US,07,Other prepared foodstuffs and fats and oils,2114,297,1
United States,0100000US,07,Other prepared foodstuffs and fats and oils,1640,254,1
United States,0100000US,08,Alcoholic beverages,17036,11017,1
United States,0100000US,08,Alcoholic beverages,14085,5233,1
United States,0100000US,13,"Other non-metallic minerals, not elsewhere classified",758,3389,1
United States,0100000US,13,"Other non-metallic minerals, not elsewhere classified",167,4698,1
United States,0100000US,14,Metallic ores and concentrates,9711,0,1
United States,0100000US,14,Metallic ores and concentrates,2412,1074,1
United States,0100000US,17,Gasoline and aviation turbine fuel,893816,1036594,1
United States,0100000US,17,Gasoline and aviation turbine fuel,745954,1388364,1
United States,0100000US,18,Fuel oils,600984,668152,1
United States,0100000US,18,Fuel oils,466218,896403,1
United States,0100000US,19,"Other coal and petroleum products, not elsewhere classified",126056,259267,1
United States,0100000US,19,"Other coal and petroleum products, not elsewhere classified",250508,414698,1
United States,0100000US,20,Basic chemicals,189607,377876,1
United States,0100000US,20,Basic chemicals,151563,323970,1
United States,0100000US,21,Pharmaceutical products,24747,3885,1
United States,0100000US,21,Pharmaceutical products,13613,965,1
United States,0100000US,22,Fertilizers,20593,34641,1
United States,0100000US,22,Fertilizers,14581,44200,1
United States,0100000US,23,"Other chemical products and preparations, not elsewhere classified",80621,25731,1
United States,0100000US,23,"Other chemical products and preparations, not elsewhere classified",84881,29930,1
United States,0100000US,24,Plastics and rubber,7431,4346,1
United States,0100000US,24,Plastics and rubber,4142,2010,1
United States,0100000US,26,Wood products,0,0,1
United States,0100000US,26,Wood products,10,24,1
United States,0100000US,31,Non-metallic mineral products,0,0,1
United States,0100000US,31,Non-metallic mineral products,217,2143,1
United States,0100000US,32,Base metal in primary or semi-finished forms and in finished basic shapes,27,0,1
United States,0100000US,32,Base metal in primary or semi-finished forms and in finished basic shapes,854,302,1
United States,0100000US,34,Machinery,0,25,1
United States,0100000US,34,Machinery,6322,1158,1
United States,0100000US,35,"Electronic and other electrical equipment and components, and office equipment",20384,4383,1
United States,0100000US,35,"Electronic and other electrical equipment and components, and office equipment",16936,2149,1
United States,0100000US,36,Motorized and other vehicles (includes parts),9434,1166,1
United States,0100000US,36,Motorized and other vehicles (includes parts),15639,1802,1
United States,0100000US,37,"Transportation equipment, not elsewhere classified",0,0,1
United States,0100000US,37,"Transportation equipment, not elsewhere classified",0,0,1
United States,0100000US,38,Precision instruments and apparatus,1840,63,1
United States,0100000US,38,Precision instruments and apparatus,1022,8,1
United States,0100000US,40,Miscellaneous manufactured products,17391,2224,1
United States,0100000US,40,Miscellaneous manufactured products,10102,823,1
United States,0100000US,41,Waste and scrap,0,0,1
United States,0100000US,41,Waste and scrap,364,955,1
United States,0100000US,43,Mixed freight,3387,662,1
